text,label,target
৭৫ হামলার আসামী কে এই গডফাদার কালা মন্দির?,Personal,0
রাজাকারদের মন্ত্রী বানানোর দায়ে তার আরও কঠিন বিচার বাকি আছে,Political,1
বৃটিশ নাগরিকদের বাংলাদেশ ভ্রমনে সতর্কতা জারী ২৩ আগ্নেয়াস্ত্রসহ যুবলীগ নেতা গ্রেফতার ,Geopolitical,3
 বলদ নয়াদিগন্ত কালকে রিপোর্ট করলো হিলারী শপথ নেওয়ার প্রস্তুতি নিচ্ছেন ট্রাম্প শিবিরে হতাশা। ,Political,1
অসভ্য বর্বর বেহায়া ভোট ডাকাত সকল প্রকার খারাপ কাজের চ্যাম্পিয়ন শেখ হাসিনার সরকারের বিকল্প আর নেই,Geopolitical,3
ভারতীয় আধিপত্যবাদের বিরুদ্ধে সোচ্চার হতে দেখা যায় তাদেরকে আসলে এরা আসল কালপ্রিট।,Geopolitical,3
"দাঁড়ি টুপি দেখলেই যারা মোদের বল জঙ্গি, আখেরাতে তারা হবে আবু জাহেলের সঙ্গি।",Personal,0
একটি দেশ ধ্বংস করার জন্য একজন হাসিনাই যথেষ্ট।,Geopolitical,3
তারপর আম্মুকে যখন ঐ বিবাহিত মেয়ে সম্পর্কে আমার দুর্বলতার ব্যাপারটা বলি তখন আম্মু।,Personal,0
কয়েকবছর আগে ভারতের নির্বাচনে চরম সাম্প্রদায়িক কট্টরপন্থী দল বিজেপির নেতা মোদী রাষ্ট্রীয় ক্ষমতায় আসীন হলে আমাদের দেশের বিএনপির বাধঁ ভাঙ্গা উল্লাস দেখে মনে হয়েছিল যে মোদী এবার সোনিয়া গান্ধীর চরম আস্থাভাজন হাসিনা সরকার কে চিৎপটাং করে খালেদা জিয়া কে মসনদে বসিয়ে দিবে কিন্তু হায় সে আশায় গুড়ে বালি দিয়ে মোদী আর ও বেশী দীর্ঘ দিন হাসিনা সরকারকে ক্ষমতায় থাকার পথ সুগম করে দিল,Geopolitical,3
এখানে শাকিবের ও দোষ আছে সে ইচ্ছা করলে আপুকে ভালো করতে পারতো ,Personal,0
"নারায়নগঞ্জের সাত খুন, বাংলাদেশের ইতিহাসে জঘন্যতম ঘটনা।",Political,1
রাজের বাচ্চা ফেরাউন হিনুর পুত মালাউন নরকের আগুন ,Religious,2
"ভারতীয় অফিসারের রহস্যময় মৃত্যু, ধৃত স্ত্রী।",Personal,0
রেন্ডিয়ান মালুরা পারলে চীন এবং পাকিস্তানের সাথে কিছু করে দেখা। ,Geopolitical,3
"সকাল বেলা ঘুম থেকে উঠে মনে হচ্ছিল কুতুবমিনার এর সামনে দাড়িয়ে আছি, আসলে সেটা আমার নিজেরই সোনা দাড়িয়ে ছিল।",Personal,0
দুর! মিয়া বোতলের সাইজ এত ছোট কে? স্যার আমি তো আপনার আর আপনার মেয়ের কাছ থেকে শিখতাছি ,Personal,0
রাজাকার সমাবেশ করতে পারেন সেটা মন্দ নয়। আপনারাতো রাজাকারদের মন্ত্রী বানাইছেন। এখন মুক্তিযোদ্ধা সমাবেশ করে মুক্তিযুদ্ধকে অপমান ছাড়া আর কিছুই নয়। ,Political,1
আমরা গরিব হইতে পারি কিন্তু ফকির মিসকিন না,Personal,0
ঢাকাতে মসজিদ ভেঙ্গে খেলার মাঠ করায় কঠিন হুংকার।,Religious,2
জাগরণ মঞ্চ মূলত একটি সরকারের নাটক ছিল যার উদাহরণ ইমরান এইচ সরকার ,Political,1
রেন্ডিয়া কখনো বাংলাদেশের শান্তি চাই না। ,Geopolitical,3
"দারোয়ান, বন্ধু, মা এবং বান্ধবী সবাই ফাঁস করলেন অজানা গোপন তথ্য।",Personal,0
আহেন এইকানে বইয়া না থাইকা আমরা একলগে ভিক্ষা করি।,Personal,0
সীমান্ত হত্যা বন্ধের দাবীতে প্রতিকী লাশ নিয়ে ঢাকা থেকে কুড়িগ্রামের অনন্তপুর হেটে যাত্রা।,Geopolitical,3
শামিম ভাই আপনি একজন চরম চাপাবাজ,Personal,0
দুজনের সম্মতি থাকলে আমার আপনার জ্বলে কেন ,Personal,0
চুতমারানি তর জন্মের ঠিক আছেরে খানকি শালী।,Personal,0
মুসলিমদের ভারতে থাকতে হলে মুহাম্মদ সাঃ কে ত্যাগ করে শ্রীরামের পথে চলতে হবে বিশ্ব হিন্দুুু পরিষদ,Geopolitical,3
তুই চোর আর তারেক জিয়া বীর,Political,1
১৯৭১ সালের ভারত - পাকিস্তান যুদ্ধের ভয়াবহতার চিত্র।,Geopolitical,3
তোরস্কে ভয়াবহ ভূমিকম্পে অন্তত ৩১ জন লোক নিহত ও ১৬ শতাধিক লোক আহত হওয়ার ঘটনায় গভীর শোক প্রকাশ।,Personal,0
আরিফ হাসান মুসলিমদের থেকে হিন্দুুুদের দেশপ্রেম অনেক বেশি।ব্রিটিশ শাসনামল থেকে বর্তমান পর্যন্ত।যেভাবে তোমরা হিন্দুদের উপর নির্যাতন কর তাহলে এদেশে থাকবে কেন?তোমরা হিন্দুদের ভারতিয় এজেন্ট মনে কর এদেশের নাগরিকই মনে করনা।তাহলে ভারতের লোক ভারতে টাকা পাচার করছে তাতে তোমার লাগে কেন?তুমি এদেশে বসে পাকির সৌদি ইরান ইন্দোনেশিয়ার গুনগান কেন কর?বাংলাদেশের কয়টা হিন্দুুু ভারতে টাকা পাঠায়?তাহলে তোরাই হলি সবচেয়ে বড় দেশদ্রোহী। খোজ নিয়ে দেখ আমেরিকা ইউরোপে কাদের সংখ্যা বেশি।এত দেশপ্রেমিক তো অন্যদেশে থাকিস কেন? আমি আম,Geopolitical,3
মাহি সে মানুষ টা বেশি ভাল না । ,Political,1
পতিতালয়ের ব্যশ্যাদের নিয়ে কেন এত আগ্রহ? ,Personal,0
তুই হইলি মাগি আর তোর বইন সেত ডাবল মাগি তুত মা ও মাগি তোর গুস্টি সব মাগি মাগির ঘুরে মাগি তুগ সুদে বুদায়া লবন আর মরিছের ফাকি দেয়া ধরকার ,Personal,0
পাছায় বারি খাওয়ার পর শোফিকের তামাশা করতে ভাল লাগে!!!,Personal,0
"কুলাঙ্গার লতিফ সিদ্দিকী হজ ও প্রিয়নবীকে কটাক্ষ করল, তরিকত ফেডারেশন ও জশনে জলুসের আশেকে রাসুল (সঃ) গেল কোথায়? ",Religious,2
ভারতের সেনারা সরকারিভাবে লিটার মদ পায় মাসে পাকিস্তানি সেনারা পায় কেজি করে আঙুর ফল ভারতীয়রা জবাব দেবে কিভাবে?,Geopolitical,3
"ভাইয়ার সাথে ক্রাইম প্রেট্রল দেখছিলাম, আজকের পর্ব দেবর ভাবীর পরকিয়া, বড় ভাইকে খুন।",Personal,0
পিলখানা হত্যাকাণ্ডের মাধ্যমে দেশপ্রেমিক গর্বিত বাহিনী ধংস করে দেয়া হয়েছে ,Political,1
সাদা চামড়ার ফাদার ডাক্তাররা সেবার নামে মানুষকে ধর্মান্তরিত করছে।,Religious,2
ভারত ছাড়া শুয়রের দল গুলোর ইনকাম করার জায়গা নেই? যা না পাকিস্তান চীন এ যা গাড় মেরে বাড়ী পাঠাবে ভিকারির দল,Geopolitical,3
 বিমান টি ভূমিতে নামার আগেই কেন ধংস হলো না। নিশ্চয়ই বিএনপি ও জামায়াত শিবিরের কর্মীদের হাত ছিল। তাই যদি না হতো অবশ্যই বিমান টি ধংস হয়ে যেত। আল্লাহ এই জানোয়ারের বাচ্চা জানোয়ার কে তুমি উপরে তুলে নাও। আমিন ,Political,1
 আমি ভিডিও দেখলাম শেহজাদ ইচ্ছা করেই মারছে কেননা সাব্বিরের সাথে শেহজাদের আগেই তর্রাতর্কি হয়েছে শুধুমাত্র এই পেজে এসে বুঝলাম শেহজাদ নিষ্পাপ কিন্তু কেন তার আর বলতে পারছি না। যারা ধর্মদণ্ড নিয়ে মালু মালাউন চাড়াল বলে গালি দিচ্ছেন তাদের ধর্ম নিয়ে আমার যতেষ্ট সন্দেহ আছে। ,Religious,2
"ভাবছি বিয়ে করলে কাউকে দাওয়াত করব না, কারণ খেয়ে দেয়ে সবাই খাবারের দোষগুলোই খুঁজে বেরায় ",Personal,0
